,lon,lat,landmark_node_id
0,104.05089670000001,30.644756400000002,3584
1,104.06683259999998,30.6303061,441
2,104.0609746,30.6725277,1075
3,104.09989159999999,30.6588675,235
4,104.037646,30.689838399999996,143
5,104.09790550000001,30.630601799999997,1619
6,104.0771074,30.6886691,3905
7,104.0245042,30.6489651,3348
8,104.044701,30.628177500000003,789
9,104.0993049,30.6879683,3033
10,104.07954509999999,30.6331048,3405
11,104.0257656,30.629182899999996,2724
12,104.06635209999999,30.6549805,3333
13,104.044262,30.6634581,3657
14,104.0838044,30.647888899999998,3186
15,104.10866309999999,30.647159100000003,2839
16,104.02196009999999,30.6770618,6
17,104.1074247,30.6733775,98
18,104.05342940000001,30.692265000000003,303
19,104.0825493,30.6651037,404
